Submission ,candidateid,evaluation_status
p10,c108,SELECTED
p100,c650,SELECTED
p107,c441,SELECTED
p115,c612,SELECTED
p121,c348,SELECTED
p127,c780,SELECTED
p128,c105,SELECTED
p138,c446,SELECTED
p141,c101,SELECTED
p155,c650,SELECTED
p158,c164,SELECTED
p159,c432,SELECTED
p161,c472,SELECTED
p163,c588,REJECTED
p174,C227,SELECTED
p181,c106,REJECTED
p182,c291,SELECTED
p186,c261,SELECTED
p191,c463,REJECTED
p193,c264,SELECTED
p200,c164,SELECTED
p201,c550,REJECTED
p205,c799,SELECTED
p208,c227,SELECTED
p211,c21,SELECTED
p217,c80,SELECTED
p218,c685,SELECTED
p220,c500,SELECTED
p224,c701,SELECTED
p247,c124,SELECTED
p257,c498,SELECTED
p258,c786,SELECTED
p264,c769,REJECTED
p267,c735,REJECTED
p280,c605,SELECTED
p290,c397,SELECTED
p294,c759,REJECTED
p298,c759,REJECTED
p319,c494,SELECTED
p32,c592,SELECTED
p320,c558,SELECTED
p322,c567,REJECTED
p323,c592,SELECTED
p324,c592,SELECTED
p328,c375,REJECTED
p331,c3,SELECTED
p333,c713,REJECTED
p335,c26,REJECTED
p339,c80,SELECTED
p346,c102,SELECTED
p356,c129,SELECTED
p362,c549,REJECTED
p364,c813,REJECTED
p365,c788,REJECTED
p37,c84,SELECTED
p375,c811,SELECTED
p379,c791,SELECTED
p380,c786,REJECTED
p383,c799,REJECTED
p39,c164,SELECTED
p391,c21,SELECTED
p395,c112,SELECTED
p397,c148,REJECTED
p398,c145,SELECTED
p410,c124,SELECTED
p412,c261,REJECTED
p446,c193,REJECTED
p448,c111,REJECTED
p450,c93,REJECTED
p462,c708,REJECTED
p473,c682,REJECTED
p49,c164,REJECTED
p520,c446,REJECTED
p523,c375,REJECTED
p525,c446,REJECTED
p529,c509,REJECTED
p536,c612,REJECTED
p539,c557,SELECTED
p541,c223,REJECTED
p542,c145,SELECTED
p545,c813,REJECTED
p546,c345,SELECTED
p569,c500,REJECTED
p596,c462,REJECTED
p607,c495,SELECTED
p610,c477,REJECTED
p617,c498,REJECTED
p63,c446,REJECTED
p630,c221,SELECTED
p633,c323,SELECTED
p636,c440,SELECTED
p641,c345,SELECTED
p645,c679,SELECTED
p646,c323,SELECTED
p647,c227,SELECTED
p65,c813,REJECTED
p650,c375,REJECTED
p652,c224,SELECTED
p657,c685,SELECTED
p663,c592,REJECTED
p667,c650,REJECTED
p673,c679,SELECTED
p684,c646,REJECTED
p686,c500,SELECTED
p689,c786,REJECTED
p691,c84,REJECTED
p7,c100,REJECTED
p70,c32,REJECTED
p712,c80,SELECTED
p714,c129,SELECTED
p717,c102,REJECTED
p719,c65,SELECTED
p73,c145,REJECTED
p730,c122,REJECTED
p74,c612,REJECTED
p740,c633,REJECTED
p746,c558,REJECTED
p755,c145,SELECTED
p758,c261,REJECTED
p78,c769,SELECTED
p782,c787,SELECTED
p831,c788,REJECTED
p835,c592,SELECTED
p838,c558,SELECTED
p85,p65,REJECTED
p851,c257,REJECTED
p855,c780,REJECTED
p857,c784,REJECTED
p88,c701,REJECTED
p9,c708,REJECTED
p90,c224,REJECTED
p92,c592,REJECTED
p93,c612,SELECTED
p94,c101,REJECTED
p99,c27,SELECTED
